LEP,kappa,5.220556,-12.9500,4.36,,100.8140,20.8623,,-75.4514,-15.6138
LEP,,,,,,,,,,
SEX,alpha,10.132222,-0.37,4.49,,42.2756,-79.4530,,-42.2756,79.4530
SEX,beta,10.505000,-0.63,5.06,,34.3326,-83.1942,,-34.3326,83.1942
SEX,gamma,9.875000,-8.10,5.05,,51.8035,-83.3067,,-43.2488,69.5497
SEX,alpha,10.132222,-0.37,4.49,,42.2756,-79.4530,,-42.2756,79.4530
SEX,,,,,,,,,,
PYX,beta,8.668333,-35.3000,3.97,,95.9502,-80.5832,,-41.8873,35.1788
PYX,alpha,8.726389,-33.2000,3.69,,93.1270,-80.6573,,-42.9352,37.1862
PYX,gamma,8.842222,-27.7000,4.01,,86.5923,-79.7187,,-45.8343,42.1960
PYX,,,,,,,,,,
TRI,alpha,1.884722,29.5833,3.41,,28.6157,53.2101,,-56.6394,-105.3193
TRI,beta,2.158889,34.9833,3.00,,29.4659,46.4607,,-66.9387,-105.5464
TRI,gamma,2.288611,33.8500,4.00,,31.6656,46.3693,,-69.8448,-102.2767
TRI,alpha,1.884722,29.5833,3.41,,28.6157,53.2101,,-56.6394,-105.3193
TRI,,,,,,,,,,
ARI,gamma,1.891944,19.2833,4.75,,33.6119,62.2180,,-51.9428,-96.1498
ARI,beta,1.910833,20.8000,2.63,,33.1917,60.7203,,-53.1451,-97.2226
ARI,alpha,2.119444,23.4500,2.01,,35.0607,56.5655,,-59.7691,-96.4290
ARI,41,2.833056,27.2667,3.61,,42.3787,46.2549,,-79.2179,-86.4638
ARI,,,,,,,,,,
LEO,beta,11.817778,14.5667,2.13,,3.5972,-75.3475,,-4.9865,104.4477
LEO,delta,11.235000,20.5167,2.56,,13.8230,-68.0945,,-21.9862,108.3076
LEO,60,11.038889,20.1833,4.41,,17.3824,-67.6182,,-27.4325,106.7137
LEO,gamma,10.333056,19.8500,1.90,,29.6513,-63.5753,,-46.4319,99.5545
LEO,zeta,10.278333,23.4167,3.43,,29.0053,-59.9336,,-49.4070,102.0896
LEO,mu,9.879444,26.0167,3.89,,33.7243,-54.3741,,-61.1500,98.5928
LEO,kappa,9.410833,26.1833,4.46,,40.0203,-49.7086,,-72.8602,90.4984
LEO,lambda,9.528611,22.9833,4.31,,40.3978,-53.4720,,-68.1066,90.1484
LEO,epsilon,9.764167,23.7667,2.97,,36.5928,-55.2071,,-62.8541,94.8273
